おはよう,goodmorning
大きい,big
青,blue
上,up
した,down
夜,night
けさ,morning
花,flower
駅,station
さく,bloom
お願い,please
ありました,ihave
ありますか,doyouhave?
好き,like
ねこ,cat
いぬ,dog
とんかつ,tonkatsu
小さい,small
あなた,you
時間,time
これ,this
それ,that
いくら,howmuch
だいこわいくらですか,howmuchisdaikon
えけわどくですか,whereisstation
日の出わいつですか,whenissunrise(hinodewaitsudeska)
寿司わありますか,douhavesushi
いですか,isitok?
です,is
でした,was
でわありません,isnot
でわありませんでした,wasnot
じゅうに,12
じゅうよん,14
よんじゅうご,45
ごじゅうきゅう,59
ろくひゃく,600
はせん,8000
にまん,20000
きょう,today
きのう,yesterday
あした,tomorrow
日曜日,Nichiyoubi
月曜日,Getsuyoubi
火曜日,Kayoubi
水曜日,Suiyoubi
木曜日,Mokuyoubi
金曜日,Kinyoubi
土曜日,Doyoubi
こんしゅう,thisweek
せんしゅう,lastweek
らいしゅう,nextweek
しがつ,april
しちがつ,july
くがつ,september
冬,fuyu
春,haru(spring)
夏,natsu(summer)
秋,aki
おてんき,weather
まいにち,everyday
どの,which
はどう,how about
ピザ,pizza
コーヒー,coffee
パスタ,pasta
食べたい,want to eat
食べた,ate
食べる,eat
たくさん,many
よやく,reservation
ひだり,left
みぎ,right
とても,very
たいよう,sun
くも,cloud
あめ,rain
でんしゃ,train
じでんしゃ,bicycle
早く,quickly
ゆっくり,slowly

